sample,sync_method,drop_smooth_window,sync_search_min,sync_search_max,sync_search_steps,signature_force_weight,signature_stroke_weight,signature_smooth_window,force_threshold,stroke_threshold,video_change_threshold_px,baseline_frames,min_consecutive
D23,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
D24,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
D25,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
D3,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
D4,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
D5,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
D6,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
D8,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
D9,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
E11,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
E12,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
E14,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
E16,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
E18,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
E2,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
E22,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
E24,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
E9,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
F10,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
F11,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
F12,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
F14,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
F17,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
F19,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
F2,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
F21,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
F23,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
F3,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
F5,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
G12,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
G18,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
G19,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
G22,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
G24,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
G4,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
G7,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
H10,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
H14,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
H18,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
H19,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
H21,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
H3,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
H4,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
H9,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
